title,author,citation
The Nature of Statistical Learning Theory,vapnik,80948
Support-vector networks,vapnik,34937
A training algorithm for optimal margin classifiers,vapnik,10578
Gene selection for cancer classification using support vector machines,vapnik,7074
Estimation of dependences based on empirical data,vapnik,4497
On the uniform convergence of relative frequencies of events to their probabilities,vapnik,4006
"Support vector method for function approximation, regression estimation and signal processing",vapnik,2932
Choosing multiple parameters for support vector machines,vapnik,2828
Support vector regression machines,vapnik,2754
Support vector machines for spam categorization,vapnik,1749
Support vector machines for histogram-based image classification,vapnik,1725
Support vector clustering,vapnik,1450
"Keel data-mining software tool: data set repository, integration of algorithms and experimental analysis framework.",vapnik,1420
Comparing support vector machines with Gaussian kernels to radial basis function classifiers,vapnik,1331
Feature selection for SVMs,vapnik,1223
Pattern recognition using generalized portrait method,vapnik,1132
Predicting time series with support vector machines,vapnik,1058
Theory of pattern recognition,vapnik,970
Comparison of classifier methods: a case study in handwritten digit recognition,vapnik,783
Extracting support data for a given task,vapnik,773
Support vector machine,vapnik,769
Support-vector networks,vapnik,674
Statistical learning theory Wiley,vapnik,651
Bounds on error expectation for support vector machines,vapnik,630
统计学习理论的本质,vapnik,627
Local learning algorithms,vapnik,625
Comparison of learning algorithms for handwritten digit recognition,vapnik,590
The nature of statistical learning theory,vapnik,486
Parallel support vector machines: The cascade svm,vapnik,476
Measuring the VC-dimension of a learning machine,vapnik,453
Principles of risk minimization for learning theory,vapnik,448
A new learning paradigm: Learning using privileged information,vapnik,424
Learning algorithms for classification: A comparison on handwritten digit recognition,vapnik,415
Prior knowledge in support vector kernels,vapnik,398
Model selection for support vector machines,vapnik,397
Learning by transduction,vapnik,384
Boosting and other ensemble methods,vapnik,367
Incorporating invariances in support vector learning machines,vapnik,354
The support vector method of function estimation,vapnik,330
Comparison of view-based object recognition algorithms using realistic 3D models,vapnik,318
Discovering Informative Patterns and Data Cleaning.,vapnik,302
Necessary and sufficient conditions for the uniform convergence of means to their expectations,vapnik,280
A note one class of perceptrons,vapnik,273
Machine learning,vapnik,259
Automatic capacity tuning of very large VC-dimension classifiers,vapnik,242
Using support vector machines for time series prediction,vapnik,213
Model complexity control for regression using VC generalization bounds,vapnik,193
L 2 regularization for learning kernels,vapnik,167
The necessary and sufficient conditions for consistency of the method of empirical risk,vapnik,164
What size test set gives good error rate estimates?,vapnik,163
Pattern recognition system using support vectors,vapnik,152
Support vector density estimation,vapnik,151
Inference with the universum,vapnik,149
A support vector clustering method,vapnik,143
Learning using privileged information: similarity control and knowledge transfer.,vapnik,139
Local algorithms for pattern recognition and dependencies estimation,vapnik,131
Support vector regression with ANOVA decomposition kernels,vapnik,128
Machine learning classification with confidence: application of transductive conformal predictors to MRI-based diagnostic and prognostic markers in depression,vapnik,121
Theory of support vector machines,vapnik,112
Support vector method for function estimation,vapnik,110
Unifying distillation and privileged information,vapnik,109
A MEMS resonant strain sensor operated in air,vapnik,108
Learning curves: Asymptotic values and rate of convergence,vapnik,103
Model selection for small sample regression,vapnik,101
On structural risk minimization or overall risk in a problem of pattern recognition,vapnik,99
Proceedings of the fifth annual workshop on computational learning theory,vapnik,98
A support vector method for clustering,vapnik,95
A note on class of perceptron,vapnik,86
Teoriâ raspoznavaniâ obrazov: statističeskie problemy obučeniâ,vapnik,85
The necessary and sufficient conditions for consistency of the method of empirical risk minimization,vapnik,84
A gentle introduction to support vector machines in biomedicine: Theory and methods,vapnik,82
On the theory of learnining with privileged information,vapnik,80
Transductive inference for estimating values of functions,vapnik,80
Universal learning technology: Support vector machines,vapnik,78
System and method for remote melanoma screening,vapnik,77
Theorie der Zeichenerkennung,vapnik,77
Vicinal risk minimization,vapnik,67
Bounds on error expectation for SVM,vapnik,67
Inductive principles of the search for empirical dependences (methods based on weak convergence of probability measures),vapnik,66
Writer-adaptation for on-line handwritten character recognition,vapnik,64
Learning kernels using local rademacher complexity,vapnik,60
Enhancing biological knowledge discovery using multiples support vector machines,vapnik,59
Advances in neural information processing systems,vapnik,57
ORDERED RISK MINIMIZATION. 1.,vapnik,57
Feature selection method using support vector machine classifier,vapnik,55
Polynomial semantic indexing,vapnik,55
Pattern recognition theory,vapnik,55
Analysis of the kdd cup 2009: Fast scoring on a large orange customer database,vapnik,54
Statistical learning and kernel methods in bioinformatics,vapnik,54
Support vector regression machines,vapnik,54
SMO-Style Algorithms for Learning Using Privileged Information.,vapnik,53
Method for inferring behavioral characteristics based on a large volume of data,vapnik,53
The support vector method,vapnik,53
"An automated, sheathless capillary electrophoresis‐mass spectrometry platform for discovery of biomarkers in human serum",vapnik,52
Support vector machines,vapnik,51
"Adaptive and learning systems for signal processing communications, and control",vapnik,50
Density estimation using support vector machines,vapnik,49
Hardware requirements for neural network pattern classifiers: A case study and implementation,vapnik,49
The nature of statistical learning theory. 2000,vapnik,47
The Nature of Statistical Learning Theory· 6·[MJ New York,vapnik,44
Latent dirichlet allocation,Michael I. Jordan,27208
On spectral clustering: Analysis and an algorithm,Michael I. Jordan,7496
Adaptive mixtures of local experts.,Michael I. Jordan,3954
Sharing clusters among related groups: Hierarchical Dirichlet processes,Michael I. Jordan,3764
Hierarchical mixtures of experts and the EM algorithm,Michael I. Jordan,3278
An introduction to variational methods for graphical models,Michael I. Jordan,3208
"Graphical models, exponential families, and variational inference",Michael I. Jordan,3198
Distance metric learning with application to clustering with side-information,Michael I. Jordan,2908
An internal model for sensorimotor integration,Michael I. Jordan,2895
Learning the kernel matrix with semidefinite programming,Michael I. Jordan,2565
Optimal feedback control as a theory of motor coordination,Michael I. Jordan,2310
Learning in graphical models,Michael I. Jordan,2209
An introduction to MCMC for machine learning,Michael I. Jordan,2188
Kalman filtering with intermittent observations,Michael I. Jordan,2172
On discriminative vs. generative classifiers: A comparison of logistic regression and naive bayes,Michael I. Jordan,2102
Kernel independent component analysis,Michael I. Jordan,1876
Matching words and pictures,Michael I. Jordan,1850
Loopy belief propagation for approximate inference: An empirical study,Michael I. Jordan,1811
Active learning with statistical models,Michael I. Jordan,1801
Forward models: Supervised learning with a distal teacher,Michael I. Jordan,1769
"Multiple kernel learning, conic duality, and the SMO algorithm",Michael I. Jordan,1597
Supervised topic models,Michael I. Jordan,1516
Factorial hidden Markov models,Michael I. Jordan,1471
Attractor dynamics and parallelism in a connectionist sequential machine,Michael I. Jordan,1322
Modeling annotated data,Michael I. Jordan,1281
Trust region policy optimization,Michael I. Jordan,1237
Variational inference for Dirichlet process mixtures,Michael I. Jordan,1121
Serial order: A parallel distributed processing approach,Michael I. Jordan,1120
Hierarchical topic models and the nested chinese restaurant process,Michael I. Jordan,1020
"Convexity, classification, and risk bounds",Michael I. Jordan,1001
"Machine learning: Trends, perspectives, and prospects",Michael I. Jordan,929
Convex and semi-nonnegative matrix factorizations,Michael I. Jordan,890
A direct formulation for sparse PCA using semidefinite programming,Michael I. Jordan,857
Scalable statistical bug isolation,Michael I. Jordan,849
Learning transferable features with deep adaptation networks,Michael I. Jordan,829
On convergence properties of the EM algorithm for Gaussian mixtures,Michael I. Jordan,819
Graphical models,Michael I. Jordan,766
Feature selection for high-dimensional genomic microarray data,Michael I. Jordan,765
A statistical framework for genomic data fusion,Michael I. Jordan,733
Convergence of stochastic iterative dynamic programming algorithms,Michael I. Jordan,733
Autonomous inverted helicopter flight via reinforcement learning,Michael I. Jordan,727
Task decomposition through competition in a modular connectionist architecture: The what and where vision tasks,Michael I. Jordan,673
