citation,author,title,year
19424,Yoshua Bengio,Gradient-based learning applied to document recognition,1998
16488,Yoshua Bengio,Deep learning,2015
9978,Yoshua Bengio,Generative adversarial nets,2014
8423,Yoshua Bengio,Deep learning,2016
7415,Yoshua Bengio,Neural machine translation by jointly learning to align and translate,2014
6833,Yoshua Bengio,Learning deep architectures for AI,2009
5814,Yoshua Bengio,Understanding the difficulty of training deep feedforward neural networks,2010
5527,Yoshua Bengio,Learning phrase representations using RNN encoder-decoder for statistical machine translation,2014
4944,Yoshua Bengio,Representation learning: A review and new perspectives,2013
4787,Yoshua Bengio,A Neural probabilistic language model,2003
3838,Yoshua Bengio,Greedy layer-wise training of deep networks,2007
3646,Yoshua Bengio,Learning long-term dependencies with gradient descent is difficult,1994
3597,Yoshua Bengio,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,2010
3341,Yoshua Bengio,"Show, attend and tell: Neural image caption generation with visual attention",2015
3309,Yoshua Bengio,Extracting and composing robust features with denoising autoencoders,2008
3259,Yoshua Bengio,Deep sparse rectifier neural networks,2011
2833,Yoshua Bengio,Empirical evaluation of gated recurrent neural networks on sequence modeling,2014
2685,Yoshua Bengio,How transferable are features in deep neural networks?,2014
2611,Yoshua Bengio,Random search for hyper-parameter optimization,2012
2278,Yoshua Bengio,"Convolutional networks for images, speech, and time series",1995
1942,Yoshua Bengio,On the difficulty of training recurrent neural networks,2013
1781,Yoshua Bengio,Word representations: a simple and general method for semi-supervised learning,2010
1750,Yoshua Bengio,Why does unsupervised pre-training help deep learning?,2010
1712,Yoshua Bengio,On the properties of neural machine translation: Encoder-decoder approaches,2014
1646,Yoshua Bengio,Maxout networks,2013
1574,Yoshua Bengio,Theano: a CPU and GPU math expression compiler,2010
1336,Yoshua Bengio,Curriculum learning,2009
1286,Yoshua Bengio,Theano: new features and speed improvements,2012
1154,Yoshua Bengio,Domain adaptation for large-scale sentiment classification: A deep learning approach,2011
1093,Yoshua Bengio,"Out-of-sample extensions for lle, isomap, mds, eigenmaps, and spectral clustering",2004
1053,Yoshua Bengio,Algorithms for hyper-parameter optimization,2011
994,Yoshua Bengio,Scaling learning algorithms towards AI,2007
953,Yoshua Bengio,Practical recommendations for gradient-based training of deep architectures,2012
886,Yoshua Bengio,Binaryconnect: Training deep neural networks with binary weights during propagations,2015
873,Yoshua Bengio,Binarized neural networks: Training deep neural networks with weights and activations constrained to+ 1 or-1,2016
870,Yoshua Bengio,Contractive auto-encoders: Explicit invariance during feature extraction,2011
825,Yoshua Bengio,Gradient flow in recurrent nets: the difficulty of learning long-term dependencies,2001
808,Yoshua Bengio,Brain tumor segmentation with deep neural networks,2017
753,Yoshua Bengio,Inference for the generalization error,2000
746,Yoshua Bengio,Exploring strategies for training deep neural networks,2009
742,Yoshua Bengio,Hierarchical probabilistic neural network language model.,2005
740,Yoshua Bengio,An empirical evaluation of deep architectures on problems with many factors of variation,2007
702,Yoshua Bengio,Attention-based models for speech recognition,2015
694,Yoshua Bengio,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,2014
692,Yoshua Bengio,Classification using discriminative restricted Boltzmann machines,2008
656,Yoshua Bengio,Fitnets: Hints for thin deep nets,2014
645,Yoshua Bengio,Building end-to-end dialogue systems using generative hierarchical neural network models,2016
642,Yoshua Bengio,Deep learning of representations for unsupervised and transfer learning,2012
615,Yoshua Bengio,Deep learning,2017
574,Yoshua Bengio,No unbiased estimator of the variance of k-fold cross-validation,2004
573,Yoshua Bengio,Deep learning. vol. 1,2016
547,Yoshua Bengio,Theano: A CPU and GPU math compiler in Python,2010
546,Yoshua Bengio,Semi-supervised learning by entropy minimization,2005
531,Yoshua Bengio,On using very large target vocabulary for neural machine translation,2014
530,Yoshua Bengio,Representational power of restricted Boltzmann machines and deep belief networks,2008
516,Yoshua Bengio,Learning structured embeddings of knowledge bases,2011
491,Yoshua Bengio,Convergence properties of the k-means algorithms,1995
476,Yoshua Bengio,How to construct deep recurrent neural networks,2013
476,Yoshua Bengio,Visualizing higher-layer features of a deep network,2009
459,Yoshua Bengio,Modeling temporal dependencies in high-dimensional sequences: Application to polyphonic music generation and transcription,2012
454,Yoshua Bengio,End-to-end attention-based large vocabulary speech recognition,2016
439,Yoshua Bengio,On the number of linear regions of deep neural networks,2014
435,Yoshua Bengio,Binarized neural networks,2016
430,Yoshua Bengio,Estimating or propagating gradients through stochastic neurons for conditional computation,2013
410,Yoshua Bengio,A parallel mixture of SVMs for very large scale problems,2002
398,Yoshua Bengio,Quantized neural networks: Training neural networks with low precision weights and activations,2017
396,Yoshua Bengio,Theano: A Python framework for fast computation of mathematical expressions,2016
393,Yoshua Bengio,A structured self-attentive sentence embedding,2017
378,Yoshua Bengio,An input output HMM architecture,1995
372,Yoshua Bengio,Markovian models for sequential data,1999
364,Yoshua Bengio,Gated feedback recurrent neural networks,2015
362,Yoshua Bengio,The difficulty of training deep architectures and the effect of unsupervised pre-training,2009
359,Yoshua Bengio,Input-output HMMs for sequence processing,1996
356,Yoshua Bengio,A recurrent latent variable model for sequential data,2015
352,Yoshua Bengio,Graph attention networks,2017
349,Yoshua Bengio,Deep learning of representations: Looking forward,2013
347,Yoshua Bengio,High quality document image compression with DjVu,1998
344,Yoshua Bengio,The one hundred layers tiramisu: Fully convolutional densenets for semantic segmentation,2017
344,Yoshua Bengio,Unsupervised feature learning and deep learning: A review and new perspectives,2012
339,Yoshua Bengio,Kernel matching pursuit,2002
325,Yoshua Bengio,Generalized denoising auto-encoders as generative models,2013
318,Yoshua Bengio,Advances in optimizing recurrent networks,2013
312,Yoshua Bengio,Investigation of recurrent-neural-network architectures and learning methods for spoken language understanding.,2013
304,Yoshua Bengio,Global optimization of a neural network-hidden Markov model hybrid,1991
303,Yoshua Bengio,A hierarchical latent variable encoder-decoder model for generating dialogues,2017
301,Yoshua Bengio,A semantic matching energy function for learning with multi-relational data,2014
285,Yoshua Bengio,Using recurrent neural networks for slot filling in spoken language understanding,2014
278,Yoshua Bengio,Boosting neural networks,2000
274,Yoshua Bengio,Pylearn2: a machine learning research library,2013
273,Yoshua Bengio,Learning eigenfunctions links spectral embedding and kernel PCA,2004
259,Yoshua Bengio,Deep generative stochastic networks trainable by backprop,2014
258,Yoshua Bengio,11 label propagation and quadratic criterion,2006
255,Yoshua Bengio,Joint learning of words and meaning representations for open-text semantic parsing,2012
248,Yoshua Bengio,What regularized auto-encoders learn from the data-generating distribution,2014
245,Yoshua Bengio,Plug & play generative networks: Conditional iterative generation of images in latent space,2017
232,Yoshua Bengio,Hierarchical recurrent neural networks for long-term dependencies,1996
229,Yoshua Bengio,An empirical investigation of catastrophic forgetting in gradient-based neural networks,2013
228,Yoshua Bengio,On the expressive power of deep architectures,2011
225,Yoshua Bengio,Hierarchical multiscale recurrent neural networks,2016
225,Yoshua Bengio,Gradient-based optimization of hyperparameters,2000
27260,Michael I. Jordan,Latent dirichlet allocation,2003
7505,Michael I. Jordan,On spectral clustering: Analysis and an algorithm,2002
3969,Michael I. Jordan,Adaptive mixtures of local experts.,1991
3766,Michael I. Jordan,Sharing clusters among related groups: Hierarchical Dirichlet processes,2005
3276,Michael I. Jordan,Hierarchical mixtures of experts and the EM algorithm,1994
3218,Michael I. Jordan,An introduction to variational methods for graphical models,1999
3213,Michael I. Jordan,"Graphical models, exponential families, and variational inference",2008
2902,Michael I. Jordan,Distance metric learning with application to clustering with side-information,2003
2896,Michael I. Jordan,An internal model for sensorimotor integration,1995
2559,Michael I. Jordan,Learning the kernel matrix with semidefinite programming,2004
2326,Michael I. Jordan,Optimal feedback control as a theory of motor coordination,2002
2200,Michael I. Jordan,Learning in graphical models,1998
2190,Michael I. Jordan,An introduction to MCMC for machine learning,2003
2172,Michael I. Jordan,Kalman filtering with intermittent observations,2004
2111,Michael I. Jordan,On discriminative vs. generative classifiers: A comparison of logistic regression and naive bayes,2002
1880,Michael I. Jordan,Kernel independent component analysis,2002
1858,Michael I. Jordan,Matching words and pictures,2003
1812,Michael I. Jordan,Active learning with statistical models,1996
1809,Michael I. Jordan,Loopy belief propagation for approximate inference: An empirical study,1999
1771,Michael I. Jordan,Forward models: Supervised learning with a distal teacher,1992
1595,Michael I. Jordan,"Multiple kernel learning, conic duality, and the SMO algorithm",2004
1518,Michael I. Jordan,Supervised topic models,2008
1470,Michael I. Jordan,Factorial hidden Markov models,1996
1317,Michael I. Jordan,Attractor dynamics and parallelism in a connectionist sequential machine,1986
1285,Michael I. Jordan,Modeling annotated data,2003
1261,Michael I. Jordan,Trust region policy optimization,2015
1127,Michael I. Jordan,Variational inference for Dirichlet process mixtures,2006
1126,Michael I. Jordan,Serial order: A parallel distributed processing approach,1997
1022,Michael I. Jordan,Hierarchical topic models and the nested Chinese restaurant process,2004
1005,Michael I. Jordan,"Convexity, classification, and risk bounds",2006
948,Michael I. Jordan,"Machine learning: Trends, perspectives, and prospects",2015
894,Michael I. Jordan,Convex and semi-nonnegative matrix factorizations,2008
860,Michael I. Jordan,A direct formulation for sparse PCA using semidefinite programming,2005
851,Michael I. Jordan,Scalable statistical bug isolation,2005
841,Michael I. Jordan,Learning transferable features with deep adaptation networks,2015
817,Michael I. Jordan,On convergence properties of the EM algorithm for Gaussian mixtures,1996
771,Michael I. Jordan,Graphical models,2004
766,Michael I. Jordan,Feature selection for high-dimensional genomic microarray data,2001
739,Michael I. Jordan,A statistical framework for genomic data fusion,2004
734,Michael I. Jordan,Convergence of stochastic iterative dynamic programming algorithms,1994
731,Michael I. Jordan,Autonomous inverted helicopter flight via reinforcement learning,2006
677,Michael I. Jordan,Task decomposition through competition in a modular connectionist architecture: The what and where vision tasks,1991
668,Michael I. Jordan,Bug isolation via remote program sampling,2003
645,Michael I. Jordan,Supervised learning from incomplete data via an EM approach,1994
598,Michael I. Jordan,The nested chinese restaurant process and bayesian nonparametric inference of topic hierarchies,2010
593,Michael I. Jordan,Sensorimotor adaptation in speech production,1998
572,Michael I. Jordan,Fifty strategies for teaching English language learners,2003
562,Michael I. Jordan,Detecting large-scale system problems by mining console logs,2009
541,Michael I. Jordan,Bayesian parameter estimation via variational methods,2000
516,Michael I. Jordan,Managing data transfers in computer clusters with orchestra,2011
510,Michael I. Jordan,Learning spectral clustering,2004
494,Michael I. Jordan,Chemogenomic profiling: identifying the functional interactions of small molecules in yeast,2004
486,Michael I. Jordan,Dimensionality reduction for supervised learning with reproducing kernel Hilbert spaces,2004
483,Michael I. Jordan,High-dimensional continuous control using generalized advantage estimation,2015
481,Michael I. Jordan,Advances in Neural Information Processing Systems 16: Proceedings of the 2003 Conference,2004
470,Michael I. Jordan,A robust minimax approach to classification,2002
462,Michael I. Jordan,PEGASUS: A policy search method for large MDPs and POMDPs,2000
426,Michael I. Jordan,Mean field theory for sigmoid belief networks,1996
