title,author,year,citation
The Benefits of Over-parameterization at Initialization in Deep ReLU Networks,Yoshua Bengio,2019,63
Automated segmentation of cortical layers in BigBrain reveals divergent cortical and laminar thickness gradients in sensory and motor cortices,Yoshua Bengio,2019,40
Tackling Climate Change with Machine Learning,Yoshua Bengio,2019,23
Towards Non-saturating Recurrent Units for Modelling Long-term Dependencies,Yoshua Bengio,2019,21
Maximum Entropy Generators for Energy-Based Models,Yoshua Bengio,2019,20
How transferable are features in convolutional neural network acoustic models across languages?,Yoshua Bengio,2019,19
InfoMask: Masked Variational Latent Representation to Localize Chest Disease,Yoshua Bengio,2019,18
Interpretable Convolutional Filters with SincNet,Yoshua Bengio,2018,17
On Training Recurrent Neural Networks for Lifelong Learning,Yoshua Bengio,2018,13
Analytic Network Learning,Yoshua Bengio,2018,12
Personnalités de l’informatique,Yoshua Bengio,2019,7
Conditional Computation for Continual Learning,Yoshua Bengio,2019,6
Towards Standardization of Data Licenses: The Montreal Data License,Yoshua Bengio,2019,6
Online continual learning with no task boundaries,Yoshua Bengio,2019,6
Predicting Tactical Solutions to Operational Planning Problems under Imperfect Information,Yoshua Bengio,2019,6
The effects of negative adaptation in Model-Agnostic Meta-Learning,Yoshua Bengio,2018,6
Learning Speaker Representations with Mutual Information,Yoshua Bengio,2018,6
Keep Drawing It: Iterative language-based image generation and editing,Yoshua Bengio,2018,6
Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input,Yoshua Bengio,2019,5
Manifold Mixup: Better Representations by Interpolating Hidden States,Yoshua Bengio,2019,5
Gated orthogonal recurrent units: On learning to forget,Yoshua Bengio,2019,5
Speaker Recognition from raw waveform with SincNet,Yoshua Bengio,2018,5
Learning problem-agnostic speech representations from multiple self-supervised tasks,Yoshua Bengio,2019,4
InfoBot: Structured Exploration in ReinforcementLearning Using Information Bottleneck,Yoshua Bengio,2019,4
Machine Learning for Combinatorial Optimization: a Methodological Tour d'Horizon,Yoshua Bengio,2018,4
Learning Powerful Policies by Using Consistent Dynamics Model,Yoshua Bengio,2019,3
Visualizing the consequences of climate change using cycle-consistent adversarial networks,Yoshua Bengio,2019,3
Speech Model Pre-training for End-to-End Spoken Language Understanding,Yoshua Bengio,2019,3
Interpolation Consistency Training for Semi-Supervised Learning,Yoshua Bengio,2019,3
Hyperbolic Discounting and Learning over Multiple Horizons,Yoshua Bengio,2019,3
Quantized guided pruning for efficient hardware implementations of convolutional neural networks,Yoshua Bengio,2018,3
Perceptual Generative Autoencoders,Yoshua Bengio,2019,2
How to Initialize your Network? Robust Initialization for WeightNorm & ResNets,Yoshua Bengio,2019,2
Do Neural Dialog Systems Use the Conversation History Effectively? An Empirical Study,Yoshua Bengio,2019,2
State-reification networks: Improving generalization by modeling the distribution of hidden representations,Yoshua Bengio,2019,2
N-BEATS: Neural basis expansion analysis for interpretable time series forecasting,Yoshua Bengio,2019,2
The Journey is the Reward: Unsupervised Learning of Influential Trajectories,Yoshua Bengio,2019,2
Representation Mixing for TTS Synthesis,Yoshua Bengio,2019,2
Reinforced Imitation in Heterogeneous Action Space,Yoshua Bengio,2019,2
Method and system for processing a task with robustness to missing input information,Yoshua Bengio,2019,2
InfoBot: Transfer and Exploration via the Information Bottleneck,Yoshua Bengio,2019,2
Speech and Speaker Recognition from Raw Waveform with SincNet,Yoshua Bengio,2018,2
DEFactor: Differentiable Edge Factorization-based Probabilistic Graph Generation,Yoshua Bengio,2018,2
Reinforcement Learning with Competitive Ensembles of Information-Constrained Primitives,Yoshua Bengio,2019,1
Unsupervised State Representation Learning in Atari,Yoshua Bengio,2019,1
Information matrices and generalization,Yoshua Bengio,2019,1
Interpolated Adversarial Training: Achieving Robust Neural Networks without Sacrificing Accuracy,Yoshua Bengio,2019,1
Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving expressivity with transient dynamics,Yoshua Bengio,2019,1
GMNN: Graph Markov Neural Networks,Yoshua Bengio,2019,1
A Highly Adaptive Acoustic Model for Accurate Multi-dialect Speech Recognition,Yoshua Bengio,2019,1
The pytorch-kaldi speech recognition toolkit,Yoshua Bengio,2019,1
GradMask: Reduce Overfitting by Regularizing Saliency,Yoshua Bengio,2019,1
Wasserstein dependency measure for representation learning,Yoshua Bengio,2019,1
Learning Dynamics Model in Reinforcement Learning by Incorporating the Long Term Future,Yoshua Bengio,2019,1
Equivalence of equilibrium propagation and recurrent backpropagation,Yoshua Bengio,2019,1
A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms,Yoshua Bengio,2019,1
Measurement of distributions sensitive to the underlying event in inclusive ,erekle magradze,2019,23
arXiv : Properties of ,erekle magradze,2019,15
Correction: Dynamics in the Fitness-Income plane: Brazilian states vs World countries,erekle magradze,2019,15
 TeV with the ATLAS experiment at the LHC,erekle magradze,2019,13
Properties of ,erekle magradze,2019,13
 with the ATLAS detector,erekle magradze,2019,13
 TeV with the …,erekle magradze,2019,10
 collisions at ,erekle magradze,2019,10
Search for a heavy charged boson in events with a charged lepton and missing transverse momentum from ,erekle magradze,2019,9
 produced in ,erekle magradze,2019,8
 production in the ,erekle magradze,2019,8
Observation of electroweak W±Z boson pair production in association with two jets in pp collisions at s= 13 TeV with the ATLAS detector,erekle magradze,2019,7
 final state with  the ATLAS detector in ,erekle magradze,2019,7
 TeV with the ATLAS detector,erekle magradze,2019,5
Search for excited electrons singly produced in proton-proton collisions  at ,erekle magradze,2019,5
 boson production in ,erekle magradze,2019,5
Search for the electroweak diboson production in association with a  high-mass dijet system in semileptonic final states in ,erekle magradze,2019,5
 collisions at  ,erekle magradze,2019,5
Combination of searches for Higgs boson pairs in ,erekle magradze,2019,4
Search for magnetic monopoles and stable high-electric-charge objects in 13 TeV proton-proton collisions with the ATLAS detector,erekle magradze,2019,3
Search for heavy neutral leptons in decays of ,erekle magradze,2019,3
"Dynamics in the Fitness-Income plane: Brazilian states vs World countries (vol 13, e0197616, 2018)",erekle magradze,2019,3
Combination of searches for invisible Higgs boson decays with the ATLAS experiment,erekle magradze,2019,2
Search for long-lived neutral particles in pp collisions at s= 13TeV\documentclass [12pt]{minimal}\usepackage {amsmath}\usepackage {wasysym}\usepackage {amsfonts}\usepackage …,erekle magradze,2019,2
 collisions at ,erekle magradze,2019,2
 collision,erekle magradze,2019,2
 produced in ,erekle magradze,2019,2
 = 13TeV with the ATLAS detector,erekle magradze,2019,2
 collisions at ,erekle magradze,2019,2
Search for heavy particles decaying into a top-quark pair in the fully hadronic final state in ,erekle magradze,2019,2
 collisions at ,erekle magradze,2019,1
 TeV with the ATLAS detector,erekle magradze,2019,1
Search for invisible Higgs boson decays in vector boson fusion at s= 13TeV with the ATLAS detector,erekle magradze,2019,1
Observation of electroweak production of a same-sign ,erekle magradze,2019,1
 boson pair in association with two jets in ,erekle magradze,2019,1
 collisions at ,erekle magradze,2019,1
13 TeV with the ATLAS detector,erekle magradze,2019,1
 collision,erekle magradze,2019,1
 collisions at ,erekle magradze,2019,1
 bosons produced in 13 TeV ,erekle magradze,2019,1
 collisions using prompt and displaced signatures with the ATLAS detector,erekle magradze,2019,1
Measurement of ,erekle magradze,2019,1
 TeV,erekle magradze,2019,1
